method name, network category, cost change (5th), cost change (25th), cost change (median), cost change (75th), cost change (95th), bytes change (5th), bytes change (25th), bytes change (median), bytes change (75th), bytes change (95th)
CombinedPatchSubset,2G,-0.02536749078760566,0.40118113325161,0.8414870117739248,1.6977347963575564,2.586359381907008,-0.7470409727637077,-0.597031024614955,-0.4828571250715868,-0.2532689669202491,-0.061596812113071074
CombinedPatchSubset,3G,-0.7064702699431024,-0.4744884656750409,-0.274863405549613,0.275641110732291,1.3502262541398395,-0.8385669249210583,-0.6964559798625588,-0.5623151797164042,-0.4162275017721281,-0.2453416578923553
CombinedPatchSubset,4G,-0.8818594468503196,-0.8010932099485559,-0.697680485327336,-0.44770037136041024,-0.09479725339994396,-0.8453350201429645,-0.7015674151536925,-0.5692846756271249,-0.428130972288581,-0.25122769837138004
CombinedPatchSubset,desktop,-0.8376970018574708,-0.4496596968328304,-0.09634307101953599,0.10465081106173246,0.23601970575077136,-0.8453350201429645,-0.7015674151536925,-0.5692846756271249,-0.428130972288581,-0.25122769837138004
CombinedPatchSubset,wifi,-0.8697513789433431,-0.6860285673858444,-0.31239881883339826,0.0069282820960491764,0.26572397602833653,-0.8453350201429645,-0.7015674151536925,-0.5692846756271249,-0.428130972288581,-0.25122769837138004
GoogleFonts_UnicodeRange,2G,-0.012733879374840279,-0.0030140482376795896,-0.00018770898833142535,0.40881050758185217,0.9855886701084378,-0.6446419431389885,-0.5281313860402332,-0.2583476507059087,-0.008413461538461564,0.13713564896157138
GoogleFonts_UnicodeRange,3G,-0.6970124305269976,-0.480580535122632,-0.17130532294255968,0.007926787638410537,0.5318548313313922,-0.6446419431389885,-0.5281313860402332,-0.2583476507059087,-0.008413461538461564,0.13713564896157138
GoogleFonts_UnicodeRange,4G,-0.8380348242024962,-0.6952890462132842,-0.36579994973962177,-0.05298730467281798,0.18086117336598417,-0.6446419431389885,-0.5281313860402332,-0.2583476507059087,-0.008413461538461564,0.13713564896157138
GoogleFonts_UnicodeRange,desktop,-0.6165737659761126,-0.3230745156713575,-0.1432963671042618,-0.0013212693703260614,0.11051490355582105,-0.6446419431389885,-0.5281313860402332,-0.2583476507059087,-0.008413461538461564,0.13713564896157138
GoogleFonts_UnicodeRange,wifi,-0.6879284559381507,-0.46161577315090796,-0.26137448981304157,-0.010963428412461451,0.15178769302184364,-0.6446419431389885,-0.5281313860402332,-0.2583476507059087,-0.008413461538461564,0.13713564896157138
RangeRequest,2G,0.017216226199787,1.5939700754944108,1.646453676210685,2.5473310967460248,6.361874223147632,-0.5931327967431089,-0.39954998195361957,-0.23971325139131822,-0.08879589130333632,0.08797181079789776
RangeRequest,3G,-0.23384261808386997,0.29473560060165843,0.7624771955375241,1.746512684246467,3.181530642017343,-0.5931327967431089,-0.39954998195361957,-0.23971325139131822,-0.08879589130333632,0.08797181079789776
RangeRequest,4G,-0.6818502346784698,0.02983054177948352,0.21422551896688313,1.074682645267036,2.9674288887242097,-0.5931327967431089,-0.39954998195361957,-0.23971325139131822,-0.08879589130333632,0.08797181079789776
RangeRequest,desktop,-0.6592220429727706,0.23375455660591277,0.48246954705641354,0.6596598384046924,0.8125792352147105,-0.5931327967431089,-0.39954998195361957,-0.23971325139131822,-0.08879589130333632,0.08797181079789776
RangeRequest,wifi,-0.5901941543029994,0.273727522179515,0.8673930053106014,1.2987932763509011,1.5670646891402245,-0.5931327967431089,-0.39954998195361957,-0.23971325139131822,-0.08879589130333632,0.08797181079789776
